	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	162	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	75	170689	43.94
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	405	830936	48.74
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	864	1697158	50.91
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	6203	8112408	76.46
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	246	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	51	186463	27.35
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	265	796837	33.26
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	553	1641795	33.68
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	4557	8519885	53.49
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	159	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	37	191744	19.30
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	198	730700	27.10
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	467	1892436	24.68
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3345	8233212	40.63
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	135	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	30	203054	14.77
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	168	758250	22.16
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	410	1954931	20.97
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3142	8728699	36.00
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	120	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	80	175082	45.69
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	427	861557	49.56
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	936	1767592	52.95
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	6149	8218027	74.82
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	267	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	56	191395	29.26
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	247	831042	29.72
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	619	1727399	35.83
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	4519	8629074	52.37
	"All Invasive Cancer Sites Combined"	"0"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	175	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	174104	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	659089	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	19	1729210	1.10
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	60	8068476	0.74
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	190981	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	675384	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1694914	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	64	8512391	0.75
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	164345	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	753885	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1574098	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	87	7990881	1.09
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	176402	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	695648	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	16	1460639	1.10
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	68	8329334	0.82
	"Oral Cavity and Pharynx"	"20010-20100"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	179574	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	685056	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1802545	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	46	8192397	0.56
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	195917	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	701969	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1785843	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	57	8625852	0.66
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	165397	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	770496	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1588857	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	77	8012850	0.96
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	17	720044	2.36
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1488070	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	92	8363715	1.10
	"Oral Cavity and Pharynx"	"20010-20100"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
